source_name,source_type,title,link,published,fetched_at,domain
CNNI Nasional,rss,Percakapan di Rantis saat Lindas Affan Terungkap di Sidang Etik,https://www.cnnindonesia.com/nasional/20250903220939-20-1269904/percakapan-di-rantis-saat-lindas-affan-terungkap-di-sidang-etik,2025-09-03 22:16:12 +0700,2025-09-03 22:21:58 +0700,cnnindonesia.com
Detik Finance,rss,"Sewa Tembus Rp15 Juta, Gerai UMKM Angkat Kaki dari District Blok M",https://finance.detik.com/foto-bisnis/d-8095301/sewa-tembus-rp15-juta-gerai-umkm-angkat-kaki-dari-district-blok-m,2025-09-03 22:15:09 +0700,2025-09-03 22:21:58 +0700,detik.com
Detik News,rss,Cara Membuat Affidavit untuk Anak Berkewarganegaraan Ganda,https://news.detik.com/berita/d-8094686/cara-membuat-affidavit-untuk-anak-berkewarganegaraan-ganda,2025-09-03 22:10:35 +0700,2025-09-03 22:21:58 +0700,detik.com
Detik Finance,rss,Kemendagri Pasang Target Setoran PNBP Rp 1 Triliun,https://finance.detik.com/berita-ekonomi-bisnis/d-8095299/kemendagri-pasang-target-setoran-pnbp-rp-1-triliun,2025-09-03 22:08:01 +0700,2025-09-03 22:21:58 +0700,detik.com
Detik News,rss,Kasus Ojol Affan Tewas Dilindas Rantis Brimob Dilimpahkan ke Bareskrim,https://news.detik.com/berita/d-8095297/kasus-ojol-affan-tewas-dilindas-rantis-brimob-dilimpahkan-ke-bareskrim,2025-09-03 22:06:19 +0700,2025-09-03 22:21:58 +0700,detik.com
Detik News,rss,Pimpinan DPR Bakal Koordinasi ke Polri soal Mahasiswa Pendemo yang Ditahan,https://news.detik.com/berita/d-8095295/pimpinan-dpr-bakal-koordinasi-ke-polri-soal-mahasiswa-pendemo-yang-ditahan,2025-09-03 22:05:21 +0700,2025-09-03 22:21:58 +0700,detik.com
CNNI Nasional,rss,NasDem Ungkap Sahroni Belum Ajukan Pengunduran Diri dari DPR,https://www.cnnindonesia.com/nasional/20250903215704-32-1269897/nasdem-ungkap-sahroni-belum-ajukan-pengunduran-diri-dari-dpr,2025-09-03 22:03:46 +0700,2025-09-03 22:21:58 +0700,cnnindonesia.com
Detik News,rss,Gugatan Eks Wamendes soal Isu Ijazah Jokowi Berakhir Damai,https://news.detik.com/berita/d-8095288/gugatan-eks-wamendes-soal-isu-ijazah-jokowi-berakhir-damai,2025-09-03 21:59:52 +0700,2025-09-03 22:21:58 +0700,detik.com
Detik News,rss,Bareskrim Tangkap TikTokers Hasut Massa Jarah Rumah Puan-Sahroni,https://news.detik.com/berita/d-8095285/bareskrim-tangkap-tiktokers-hasut-massa-jarah-rumah-puan-sahroni,2025-09-03 21:53:43 +0700,2025-09-03 22:21:58 +0700,detik.com
GNews,rss,"Butuh 1 Miliar Orang Berteriak, Baru Terdengar dari Dalam Gedung DPR - Kompas.com",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5GdTdxUEo1c3k0N3lXUVByY0ZhUTF1eDBRRDU5NkgwMU1HUUExUk1icFpkaVo2MUFhUUxJeDZsM2lyYjdEZTdVaGtYZ19IS00?oc=5,2025-09-03 21:48:06 +0700,2025-09-03 22:21:58 +0700,news.google.com
Detik News,rss,KPK Dalami Proses Pencairan Biaya Haji 2024 Saat Periksa Kepala BPKH,https://news.detik.com/berita/d-8095278/kpk-dalami-proses-pencairan-biaya-haji-2024-saat-periksa-kepala-bpkh,2025-09-03 21:47:31 +0700,2025-09-03 22:21:58 +0700,detik.com
Tempo Bisnis,rss,DPR Belum Dapat Penjelasan Resmi Rencana Burden Sharing dari BI dan Kemenkeu,https://bisnis.tempo.co/read/2045949/dpr-belum-dapat-penjelasan-resmi-rencana-burden-sharing-dari-bi-dan-kemenkeu,2025-09-03 21:44:58 +0700,2025-09-03 22:21:58 +0700,tempo.co
